gap,signal,,Noise,Er_signal,sum,IMO,Norm,Er_Norm
steps,,,,,,,,
wcol(1)-108,,,,,,,wcol(2)/25.1,0.05*wcol(8)
-108,14.3,,,,,,0.56972,0.02849
-66.5,14.2,,,,,,0.56574,0.02829
-25,13.8,,,,,,0.5498,0.02749
16.5,9.3,,,,,,0.37052,0.01853
33.1,7.6,,,,,,0.30279,0.01514
49.7,5.9,,,,,,0.23506,0.01175
66.3,4.6,,,,,,0.18327,0.00916
82.9,3.9,,,,,,0.15538,0.00777
99.5,3.8,,,,,,0.15139,0.00757
116.1,4.4,,,,,,0.1753,0.00876
132.7,5.4,,,,,,0.21514,0.01076
149.3,7.1,,,,,,0.28287,0.01414
182.5,10.6,,,,,,0.42231,0.02112
199.1,12.8,,,,,,0.50996,0.0255
215.7,14.9,,,,,,0.59363,0.02968
232.3,16.4,,,,,,0.65339,0.03267
248.9,18,,,,,,0.71713,0.03586
265.5,19.5,,,,,,0.77689,0.03884
282.1,20.2,,,,,,0.80478,0.04024
298.7,20.9,,,,,,0.83267,0.04163
348.5,23.4,,,,,,0.93227,0.04661
390,23.6,,,,,,0.94024,0.04701
473,25.1,,,,,,1,0.05
