gap,signal,Noise,Er_signal,sum,IMO,Norm,Er_Norm
-32,39,-8,1,10,46,0.27976,0.01399
-15.4,37,-8,1,10,46,0.26786,0.01339
1.2,34,-8,1,10,46,0.25,0.0125
17.8,31,-8,1,10,46,0.23214,0.01161
34.4,28,-8,1,10,46,0.21429,0.01071
42.7,26,-8,1,10,46,0.20238,0.01012
51,21,-8,1,10,46,0.17262,0.00863
59.3,18,-8,1,10,46,0.15476,0.00774
67.6,15,-8,1,10,46,0.1369,0.00685
75.9,14,-8,1,10,46,0.13095,0.00655
84.2,13,-8,1,10,46,0.125,0.00625
92.5,12,-8,1,10,46,0.11905,0.00595
100.8,14,-8,1,10,46,0.13095,0.00655
109.1,16,-8,1,10,46,0.14286,0.00714
117.4,21,-8,1,10,46,0.17262,0.00863
125.7,25,-8,1,10,46,0.19643,0.00982
134,31,-8,1,10,46,0.23214,0.01161
142.3,37,-8,1,10,46,0.26786,0.01339
150.6,44,-8,1,10,46,0.30952,0.01548
158.9,49,-8,1,10,46,0.33929,0.01696
167.2,57,-8,1,10,46,0.3869,0.01935
175.5,65,-8,1,10,46,0.43452,0.02173
183.8,72,-8,1,10,46,0.47619,0.02381
192.1,80,-8,1,10,46,0.52381,0.02619
200.4,87,-8,1,10,46,0.56548,0.02827
208.7,92,-8,1,10,46,0.59524,0.02976
217,99,-8,1,10,46,0.6369,0.03185
225.3,104,-8,1,10,46,0.66667,0.03333
233.6,109,-8,1,10,46,0.69643,0.03482
241.9,113,-8,1,10,46,0.72024,0.03601
250.2,119,-8,1,10,46,0.75595,0.0378
258.5,124,-8,1,10,46,0.78571,0.03929
266.8,130,-8,1,10,46,0.82143,0.04107
275.1,132,-8,1,10,46,0.83333,0.04167
283.4,134,-8,1,10,46,0.84524,0.04226
291.7,139,-8,1,10,46,0.875,0.04375
300,141,-8,1,10,46,0.8869,0.04435
316.6,144,-8,1,10,46,0.90476,0.04524
333.2,150,-8,1,10,46,0.94048,0.04702
349.8,152,-8,1,10,46,0.95238,0.04762
366.4,156,-8,1,10,46,0.97619,0.04881
383,160,-8,1,10,46,1,0.05
399.6,160,-8,1,10,46,1,0.05
--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--
